EmployeeID,FirstName,LastName,Gender,State,City,HireDate,Department,JobTitle,EducationLevel,PerformanceRating,Overtime,Salary,BirthDate,TerminationDate,AdjustedSalary
E00001,Gautam,Dave,Male,West Bengal,Howrah,2021-04-07,HR,HR Executive,Bachelor's,Good,No,709875,1996-04-13,,709875
E00002,Niharika,Anne,Female,Uttar Pradesh,Kanpur,2015-09-27,Operations,Operations Manager,Master's,Excellent,No,549929,1969-10-08,2021-03-04,709573
E00003,Aishani,Bains,Male,Karnataka,Mangalore,2022-12-12,IT,IT Manager,Master's,Satisfactory,No,999338,1988-12-20,,1149238
E00004,Rudra,Ray,Male,Uttar Pradesh,Noida,2022-05-01,Sales,Sales Manager,Bachelor's,Excellent,No,683605,1990-05-09,,683605
E00005,Yashawini,Raja,Female,Maharashtra,Nagpur,2022-10-09,HR,HR Manager,Master's,Good,Yes,489109,1978-10-20,,631097
E00006,Thomas,Garg,Female,West Bengal,Siliguri,2024-01-01,IT,Software Engineer,Bachelor's,Excellent,Yes,1455813,1995-01-08,,1484929
E00007,Nidra,Bhakta,Female,Gujarat,Vadodara,2020-04-18,Sales,Sales Executive,Bachelor's,Excellent,No,449680,1976-04-29,,504540
E00008,Varsha,Sarin,Female,Uttar Pradesh,Lucknow,2023-03-23,IT,Data Analyst,Bachelor's,Good,No,1302243,2001-03-28,,1328287
E00009,Adya,Sahni,Female,West Bengal,Siliguri,2021-04-14,IT,Software Engineer,Bachelor's,Good,Yes,1302538,1982-04-24,,1328588
E00010,Anamika,Narayanan,Male,West Bengal,Kolkata,2020-06-02,Sales,Sales Manager,Bachelor's,Excellent,No,730846,1965-06-16,,803930
E00011,Ekantika,Chopra,Male,Delhi,New Delhi,2022-01-14,IT,Software Engineer,Bachelor's,Excellent,Yes,960473,1977-01-25,,1056520
E00012,Hemal,Mane,Male,Karnataka,Bengaluru,2023-04-03,HR,HR Executive,Bachelor's,Satisfactory,No,532037,1986-04-12,,532037
E00013,Mason,Kannan,Male,Gujarat,Ahmedabad,2018-04-04,IT,Software Engineer,Bachelor's,Satisfactory,No,990454,1982-04-13,,990454
E00014,Warinder,Gill,Female,Gujarat,Vadodara,2020-02-24,IT,Data Analyst,Bachelor's,Satisfactory,Yes,1102757,1983-03-05,,1124812
E00015,Meghana,Chakraborty,Female,West Bengal,Kolkata,2015-06-09,HR,HR Executive,Bachelor's,Needs Improvement,Yes,396042,1976-06-18,,403962
E00016,Hardik,Mistry,Female,Maharashtra,Mumbai,2020-11-21,Sales,Sales Executive,Bachelor's,Good,No,924847,1981-12-01,,943343
E00017,Vaishnavi,Gole,Male,Delhi,New Delhi,2016-10-05,Sales,Business Development,Master's,Excellent,Yes,371263,1986-10-13,,426952
E00018,Parth,Chad,Male,Delhi,New Delhi,2023-09-07,Operations,Operations Manager,Master's,Good,Yes,777032,1982-09-17,,982945
E00019,Gaurangi,Baria,Female,West Bengal,Howrah,2024-03-08,IT,Software Engineer,Bachelor's,Excellent,No,1171711,2002-03-14,,1195145
E00020,Vedant,Chauhan,Female,Gujarat,Surat,2023-01-08,Operations,Operations Manager,Master's,Excellent,Yes,617629,1978-01-19,,796926
E00021,Zashil,Ramesh,Female,Maharashtra,Nagpur,2021-03-23,HR,HR Executive,Bachelor's,Satisfactory,No,398094,1999-03-29,,406055
E00022,Damini,Sinha,Male,West Bengal,Kolkata,2021-01-17,Finance,Accountant,Bachelor's,Excellent,No,413385,1998-01-23,,413385
E00023,Bina,Pai,Female,Uttar Pradesh,Kanpur,2022-12-30,Finance,Accountant,Bachelor's,Satisfactory,No,1027211,1993-01-06,,1047755
E00024,Gautam,Mody,Female,Maharashtra,Mumbai,2015-06-16,HR,HR Executive,Bachelor's,Good,No,653717,1992-06-21,,666791
E00025,Devansh,Butala,Male,West Bengal,Siliguri,2023-10-29,IT,Software Engineer,Bachelor's,Good,No,1058845,1984-11-07,,1058845
E00026,Eshana,Dube,Male,Uttar Pradesh,Kanpur,2022-10-28,IT,Data Analyst,Bachelor's,Good,No,1159318,1985-11-06,,1159318
E00027,Kiaan,Sundaram,Female,Gujarat,Surat,2017-09-12,Operations,Operations Executive,Bachelor's,Excellent,No,392916,1991-09-19,,400774
E00028,Darpan,Keer,Female,Maharashtra,Nagpur,2019-02-28,Sales,Sales Manager,Bachelor's,Good,Yes,414471,1967-03-13,,465036
E00029,Chandresh,Dar,Male,Tamil Nadu,Madurai,2017-11-14,HR,HR Manager,Master's,Satisfactory,Yes,660852,1974-11-25,,835977
